text,start,end
ถ้าเราติดต่อก็มานะคะ ไม่ว่าจะอยากให้พี่ค่ะ ก็มาช่วยรับชมคลิปวีดีโอ,1.194,5.595
ค่ะ หรือจะช่วยกดถูกใจนะคะ ให้กับคลิปวีดีโอสินค้าต่างๆ,5.595,9.079
ในร้านค้าของ tiktok ที่อยู่ในเที่ยวบริษัท The Inc. Corporation นะคะ,9.079,13.113
โดยทางบริษัทจะมีค่าต่อแผนในปี 20-50,13.322,16.341
 บาทค่ะ กิจกรรมของทางเราจะไม่มีการ ได้เก็บค่าใช้จ่าย,16.341,19.791
ใดๆ ทั้งสิ้นนะคะ มีทรัพย์บ้านที่สนใจไหมคะ,19.791,22.810000000000002
สนใจต้องทำไงครับ,23.082,24.666
ถ้า คลิป สนใจ นะคะ,25.77,27.29
รับรองรับกิจกรรมไม่ได้ยุ่งยากเลยค่ะ แค่นี้นะคะ ได้รับสิทธิ์ผ่านเข้า,27.498,31.188000000000002
ไปรับชมคลิปวิดีโอที่ทางเราส่งให้นะคะ รับชมคลิปวิดีโอเกิด,31.188000000000002,35.062000000000005
ไหมนะคะ คนสูงกว่าที่เคลื่อนในคลิปวิดีโอ แล้วก็ผ่อนหน้าจอส่งกลับให้,35.062000000000005,38.93600000000001
จ่ายบริการที่ทางเรามีให้ แค่นี้ก็จะสามารถรับก้าวตอบแทนได้แล้วค่ะ,38.93600000000001,42.81000000000001
ครับ อันนี้โทรจากไหน ติ๊กต็อกหรอครับ,43.018,45.146
ขอบคุณสำหรับสัมภาษณ์ของแอปพลิเคชันพิกเซิล,46.122,48.79
ค่ะ มาจากไมเคียค่ะ บริษัทไมเคีย,48.79,50.842
ที่บริษัท DM Corporation นะคะ บ๊วย บ๊วย บริษัท ไอเครื่องมันอยู่ที่ไหนครับ,51.146,54.906
อะไรนะคะ บริษัทเนี่ย เครือตั้งอยู่ที่ไหนครับ,55.69,57.882
อยู่ในกรุงเทพฯ เลยค่ะ,59.146,60.474
ในกรุงเทพฯ นะ,60.682,61.69
แต่ตอนนี้ผมไม่ได้อยู่ในกรุงเทพฯ นะ,62.282,64.218
ไมโครโฮม ช่อย อ่า,64.874,66.874
ทั้ง 4 นะคะ สวนสาธิตค่ะ สวนสาธิตนะคะ มุมสวนค่ะ คือ กรุงเทพฯ,66.954,70.40199999999999
 นะคะ แต่ตอนนี้ผมอยู่ออสเตรเลียนะฮะ ไม่ได้อยู่กรุงเทพฯ นะฮะ,70.40199999999999,73.84999999999998
อะไรนะคะ,74.73,75.546
แต่ตอนนี้ผมอยู่ที่ออสเตรเลียนะฮะ,75.53,77.434
ไม่ได้อยู่กรุงเทพฯนะ ไม่ได้อยู่ในประเทศไทยนะ,77.514,79.514
อ.เรนนี่บอกว่าอยู่กรุงเทพฯ ไม่ใช่หรอคะ พระครู พระครูก็,80.714,83.698
คือ คุณเนี่ยอยู่กรุงเทพฯ ใช่ไหม แต่ผมไม่ได้อยู่กรุงเทพฯ ไว้,83.698,86.68199999999999
แม่ค้า,86.986,87.834
แล้วทำได้ไหมครับ อยู่ออสเตรเลียทำได้ไหมครับ,89.994,92.41
แล้วก็ พูด อยู่กับว่า พี่ จะ สามารถ เข้า ดู คลิป วีดีโอ,93.738,96.694
 ของ ทาง เรา ได้ ไหม แล้ว พี่ มี บัญชี ของ ใคร หรือ ป่าว แค่ นั้น ค่ะ,96.694,99.834
น่าจะเข้าได้ถ้าทางออสเตรเลียเขาไม่ได้บล็อกนะ,100.01,102.97
ถ้าว่าดูบัญชีไทยได้นะ คลิปวิดีโอมันก็เป็น,104.938,108.06400000000001
คลิปวิดีโอใน tiktok ทั่วไป เป็นวิดีโอแบบรีวิว,108.06400000000001,111.399
สินค้าอย่างเงี้ยค่ะ แบบขายของใช้ แท้ๆก็ไปกดปลูกใจ,111.399,114.734
แท้ๆสุดเสียงเลยค่ะ อันนี้ต้องทำยังไงครับ ต้องการ,114.734,117.86
กระตุ้นให้สินค้าของเราขายดีเป็นที่นิยมอยู่ค่ะ,117.86,120.986
ผมต้องทำไงครับ,121.002,122.778
ถ้าที่ซูเปอร์เซ็นต์ เดี๋ยวเราจะส่งรายละเอียดมากิจกรรม แล้วก็ขั้นตอน,123.53,127.342
แพร่บางสูตร สำหรับที่ผ่านไลน์ จะทราบว่าผู้สนุกได้มาจ่ายบริการไหมคะ,127.342,131.35399999999998
สะดวกครับ ขอไอดีเลยครับ,131.498,133.306
ได้ค่ะ,133.834,134.65
ในรีบานส่งทางเรานะคะ,134.666,136.73
ภาษาอังกฤษตัวๆ เล็กๆ นะคะ E5K5 ค่ะ,139.146,143.002
ขออีกรอบนะครับ อะไรนะครับ,143.466,145.338
อืม ค่ะ,146.282,147.482
อ.เรนนี่ เอ ห้า บ๊วย อ.เจมส์ อี หรอ อี ห้า เอ ห้า,147.626,150.298
สาย P5 K5,150.698,152.666
E5 K K King ใช่ไหมครับ K5,152.938,155.322
ก็อันนี้ก็ต้อง,164.618,165.498
อ๋อ ฝ่ายบริการ,167.242,169.114
ก็หญ้าเดียวครับ ใช่ไหมครับ,169.098,170.714
ใช่ค่ะ ครับผม เดี๋ยวผมแอดไปครับ,171.402,173.498
ค่ะ พี่เพื่อนๆ แล้วพี่ก็ส่งรหัส 4 ตัว รหัสของพี่นะคะ จะ,174.154,177.488
เป็นรหัสยืนยันตรงกรมภูมิ ตรงกล้ามวิสาหกิจแอบอ้างนะคะ จะเป็น,177.488,181.018
3772 ค่ะ 3772 ครับ,181.162,183.834
ตรงนี้นะคะ,185.066,186.234
ตอนนี้รัฐบาลมันเดือดงามเพิ่มเติมเท่านี้ไปนะคะ หลายๆ,186.154,189.063
คนแทนว่าจะเป็นคนส่งสิทธิ์วิดีโอไว้ที่ทดลองงานก่อน,189.063,192.154
ที่นับชมที่วิดีโอเสร็จแล้วใช่ไหมคะ เดี๋ยวพี่โกส,192.49,195.10600000000002
 ส่งผ่านอีเกอร์ แล้วพี่ฮัจจ์ อ้างจอ ส่งผ่านให้ฝ่ายบริการ,195.10600000000002,197.72200000000004
การพัฒนาพิกัดก็จะได้รับค่าตอบแทนเลยนะคะ เดี๋ยวฝากกดกระดมค่า,197.834,201.524
ตอบแทนในที่ที่สะดวก แล้วก็กดกระดมด้านการเลขบัญชี หรือว่า ที่ออฟฟอร์ม,201.524,205.389
ก็ได้ค่ะ ส่วนถ้าต้องสุดท้ายเนี่ย เดี๋ยวค่าตอบแทนที่ได้สมัครของทางบุคคลที่,205.389,209.079
เป็นสมาชิกจัดการของเราค่ะ ทางลงทะเบียนนี้ หรือโทรศัพท์บัตรส่วนหนึ่งในการ,209.079,212.769
ประกินจัดการของเรา สร้างรายได้รับสรรค์ให้มีค่าใช้จ่ายเหมือนกันนะคะ ครับผม,212.769,216.63400000000001
ค่ะ แล้วยังไงนะคะ ที่จะรู้ อ่า,217.258,219.55100000000002
 ส่งเป็นรหัส ดีแกรม ได้ นะคะ 3012 นะคะ,219.55100000000002,222.074
377R ครับผม ได้ครับ,222.186,224.154
ขอบคุณมากนะคะ ครับ ขอบคุณครับ,224.874,227.258
เบอร์โทรนะ,233.738,234.618
อ้างว่าโทรจากบริษัทในเกียร์ tiktok,236.394,238.426
ให้ไปทำภารกิจนะครับ,238.506,240.698
เหตุการณ์ที่ผมเคยเจอแล้วเขาโทรมาหาเลยบางรายที่,240.682,242.906
เดี๋ยวไปดูกันครับ,243.402,244.154
ก็ลองเอา,244.906,245.978
ภาพถ่ายโปรไฟล์เขานะครับ,246.602,248.186
ไปหาใน google,249.002,250.362
ไม่เจอนะครับ โอ้ ดีๆ ทำกันเนียนมาก,250.378,252.666
